pxd,run,coverage,scoring_mode,usable,k,cand_classes,pred_tissue,confidence,assigned,assigned_conf,tissue_source,label_class
PXD000561,PXD000561-Sample 1,0.2233,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Adrenal gland,0.1298,Adrenal gland,0.1298,hamlet-multi,
PXD000561,PXD000561-Sample 10,0.2817,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.6779,Liver,0.6779,hamlet-multi,
PXD000561,PXD000561-Sample 11,0.1957,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Liver,0.7523,Liver,0.7523,hamlet-multi,
PXD000561,PXD000561-Sample 12,0.2559,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.2439,Lung,0.2439,hamlet-multi,
PXD000561,PXD000561-Sample 13,0.1634,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Lung,0.2269,Lung,0.2269,hamlet-multi,
PXD000561,PXD000561-Sample 14,0.3293,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Placenta,0.3201,Placenta,0.3201,hamlet-multi,
PXD000561,PXD000561-Sample 15,0.4568,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Brain,0.3161,Brain,0.3161,hamlet-multi,
PXD000561,PXD000561-Sample 16,0.4078,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Monocytes,0.1326,Lung,0.0866,hamlet-multi,
PXD000561,PXD000561-Sample 17,0.4206,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Stomach,0.1692,Colon,0.1254,hamlet-multi,
PXD000561,PXD000561-Sample 18,0.469,predict_proba,True,14,"['Adrenal gland', 'Brain', 'Colon', 'Esophagus', 'Heart', 'Kidney', 'Liver', 'Lung', 'Ovary', 'Placenta', 'Prostate', 'Rectum', 'Testis', 'Urinary bladder']",Small intestine,0.1541,Colon,0.1189,hamlet-multi,
