tissue_llm	tissue_mlm	mica_label	Run_Count	Mean_Lin_Sim
cervix	Esophagus	digestive tract	62	0.235
peritoneum	Adipose tissue	mesenchymal stem cell	35	0.162
muscle	Skeletal muscle	muscle structure	34	0.6485
saliva-secreting gland	Salivary gland	saliva-secreting gland	34	1.0
seminal vesicle	Prostate	male reproductive gland	32	0.8041
eye	Monocytes	non-connected functional system	21	0.4387
peritoneum	Ovary	embryo	15	0.0682
enamel	Ovary	primordium	14	0.1699
renal system	Prostate	renal system	14	0.7108
cervix	Stomach	digestive tract	12	0.2602
cervix	Liver	digestive tract	9	0.2549
enamel	Monocytes	skeletal tissue	8	0.2766
