pxd	run	tissue_mlm	confidence_mlm	tissue_llm	is_agree	is_in_mlm_vocab	lin_similarity	concordance_tier	disease_state_llm
PXD000445	20110718_002_Exp1_OGE01	Colon	0.0657	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_003_Exp1_OGE02	Colon	0.0742	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_013_Exp1_OGE12	Colon	0.1768	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_016_Exp2_OGE01	Colon	0.0669	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_017_Exp2_OGE02	B-cells	0.0416	colon	False	True	0.1952	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_021_Exp2_OGE06	Colon	0.0862	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_027_Exp2_OGE12	Colon	0.1903	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_030_Exp3_OGE01	B-cells	0.0403	colon	False	True	0.1952	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_031_Exp3_OGE02	Colon	0.0695	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_033_Exp3_OGE04	Testis	0.043	colon	False	True	0.0826	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_035_Exp3_OGE06	Colon	0.101	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_036_Exp3_OGE08	Rectum	0.0422	colon	False	True	0.8798	Near-Agreement (Subpart / Secretome)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_040_Exp3_OGE12	Colon	0.1626	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_043_Exp4_OGE01	Skeletal muscle	0.0398	colon	False	True	0.286	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_044_Exp4_OGE02	Skeletal muscle	0.0439	colon	False	True	0.286	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_046_Exp4_OGE04	Colon	0.0686	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_054_Exp4_OGE12	Skeletal muscle	0.0436	colon	False	True	0.286	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_057_Exp5_OGE01	Colon	0.0579	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_060_Exp5_OGE04	Rectum	0.0438	colon	False	True	0.8798	Near-Agreement (Subpart / Secretome)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_061_Exp5_OGE05	Tonsil	0.0402	colon	False	True	0.2585	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_062_Exp5_OGE06	Skeletal muscle	0.0392	colon	False	True	0.286	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_068_Exp5_OGE12	Colon	0.1313	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_072_Exp1_OGE02_II	Colon	0.0383	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_120_Exp4_OGE01_II_replicate	Adipose tissue	0.0601	colon	False	True	0.1032	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_130_Exp5_OGE01_II	Colon	0.1102	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_133_Exp5_OGE04_II	Rectum	0.0423	colon	False	True	0.8798	Near-Agreement (Subpart / Secretome)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_134_Exp5_OGE05_II	Monocytes	0.0432	colon	False	True	0.2084	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_135_Exp5_OGE06_II	B-cells	0.047	colon	False	True	0.1952	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20110718_142_Exp5_OGE12_II	Colon	0.0677	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_002_Exp06_OGE01_HCD_CE52	Salivary gland	0.0576	colon	False	True	0.5279	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_003_Exp06_OGE02	Placenta	0.0549	colon	False	True	0.2845	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_006_Exp06_OGE05	Colon	0.1121	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_007_Exp06_OGE06	Colon	0.0873	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_008_Exp06_OGE07	Colon	0.0969	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_010_Exp06_OGE09	Colon	0.157	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_013_Exp06_OGE12	Colon	0.0763	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_016_Exp07_OGE01_HCD_CD52	Lung	0.0405	colon	False	True	0.3289	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_017_Exp07_OGE02	Colon	0.058	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_027_Exp07_OGE12	Nasal Polyps	0.1271	colon	False	True	0.4019	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_030_Exp08_OGE01	Testis	0.0485	colon	False	True	0.0826	True Conflict	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_032_Exp08_OGE02_replicate	Monocytes	0.0512	colon	False	True	0.2084	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_035_Exp08_OGE06	Colon	0.1262	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_044_Exp09_OGE01	Colon	0.0793	colon	True	True	1.0	Exact Match	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_047_Exp09_OGE04	Lung	0.0431	colon	False	True	0.3289	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
PXD000445	20111114_049_Exp09_OGE06	Monocytes	0.0534	colon	False	True	0.2084	Distant Concordance (Organ System)	colorectal adenoma; normal; colorectal cancer
